species	resolution_A	fsc_corrected
Ribosome	640.3000	0.999989
Ribosome	320.1500	0.999960
Ribosome	213.4333	0.999840
Ribosome	160.0750	0.999354
Ribosome	128.0600	0.999442
Ribosome	106.7167	0.999243
Ribosome	91.4714	0.999094
Ribosome	80.0375	0.999074
Ribosome	71.1444	0.998941
Ribosome	64.0300	0.998666
Ribosome	58.2091	0.998458
Ribosome	53.3583	0.998468
Ribosome	49.2538	0.998342
Ribosome	45.7357	0.998074
Ribosome	42.6867	0.997562
Ribosome	40.0187	0.997268
Ribosome	37.6647	0.996873
Ribosome	35.5722	0.996085
Ribosome	33.7000	0.995492
Ribosome	32.0150	0.994518
Ribosome	30.4905	0.992501
Ribosome	29.1045	0.990337
Ribosome	27.8391	0.987569
Ribosome	26.6792	0.982165
Ribosome	25.6120	0.971734
Ribosome	24.6269	0.961168
Ribosome	23.7148	0.885654
Ribosome	22.8679	0.910404
Ribosome	22.0793	0.927640
Ribosome	21.3433	0.933462
Ribosome	20.6548	0.934455
Ribosome	20.0094	0.933620
Ribosome	19.4030	0.926482
Ribosome	18.8324	0.911023
Ribosome	18.2943	0.892191
Ribosome	17.7861	0.873846
Ribosome	17.3054	0.865802
Ribosome	16.8500	0.866515
Ribosome	16.4179	0.869071
Ribosome	16.0075	0.871545
Ribosome	15.6171	0.869287
Ribosome	15.2452	0.860037
Ribosome	14.8907	0.839087
Ribosome	14.5523	0.814281
Ribosome	14.2289	0.805096
Ribosome	13.9196	0.801284
Ribosome	13.6234	0.796697
Ribosome	13.3396	0.794212
Ribosome	13.0673	0.784640
Ribosome	12.8060	0.771758
Ribosome	12.5549	0.769601
Ribosome	12.3135	0.765981
Ribosome	12.0811	0.754977
Ribosome	11.8574	0.745514
Ribosome	11.6418	0.743458
Ribosome	11.4339	0.735449
Ribosome	11.2333	0.716711
Ribosome	11.0397	0.694276
Ribosome	10.8525	0.664437
Ribosome	10.6717	0.636602
Ribosome	10.4967	0.627862
Ribosome	10.3274	0.618630
Ribosome	10.1635	0.594602
Ribosome	10.0047	0.559158
Ribosome	9.8508	0.522933
Ribosome	9.7015	0.507239
Ribosome	9.5567	0.498781
Ribosome	9.4162	0.460465
Ribosome	9.2797	0.394581
Ribosome	9.1471	0.350968
Ribosome	9.0183	0.361506
Ribosome	8.8931	0.385200
Ribosome	8.7712	0.368911
Ribosome	8.6527	0.313225
Ribosome	8.5373	0.272204
Ribosome	8.4250	0.269418
Ribosome	8.3156	0.275107
Ribosome	8.2090	0.258086
Ribosome	8.1051	0.229395
Ribosome	8.0038	0.206799
Ribosome	7.9049	0.185698
Ribosome	7.8085	0.157846
Ribosome	7.7145	0.126878
Ribosome	7.6226	0.115429
Ribosome	7.5329	0.120532
Ribosome	7.4453	0.118114
Ribosome	7.3598	0.112164
Ribosome	7.2761	0.108033
Ribosome	7.1944	0.101805
Ribosome	7.1144	0.097840
Ribosome	7.0363	0.092912
Ribosome	6.9598	0.070016
Ribosome	6.8849	0.041243
Ribosome	6.8117	0.016356
FAS	539.1999	0.999885
FAS	269.6000	0.998150
FAS	179.7333	0.985009
FAS	134.8000	0.992537
FAS	107.8400	0.992999
FAS	89.8667	0.995086
FAS	77.0286	0.996039
FAS	67.4000	0.995915
FAS	59.9111	0.993446
FAS	53.9200	0.991019
FAS	49.0182	0.986004
FAS	44.9333	0.982765
FAS	41.4769	0.976198
FAS	38.5143	0.973207
FAS	35.9467	0.964856
FAS	33.7000	0.952692
FAS	31.7176	0.937895
FAS	29.9556	0.908687
FAS	28.3789	0.868644
FAS	26.9600	0.812747
FAS	25.6762	0.687802
FAS	24.5091	0.574834
FAS	23.4435	0.523378
FAS	22.4667	0.533746
FAS	21.5680	0.528450
FAS	20.7385	0.546026
FAS	19.9704	0.546891
FAS	19.2571	0.451777
FAS	18.5931	0.379492
FAS	17.9733	0.342949
FAS	17.3935	0.303056
FAS	16.8500	0.303590
FAS	16.3394	0.357127
FAS	15.8588	0.332391
FAS	15.4057	0.251728
FAS	14.9778	0.231996
FAS	14.5730	0.186194
FAS	14.1895	0.164182
FAS	13.8256	0.138838
FAS	13.4800	0.081208
FAS	13.1512	0.071836
FAS	12.8381	0.088271
FAS	12.5395	0.110523
FAS	12.2545	0.149941
FAS	11.9822	0.129030
FAS	11.7217	0.079891
FAS	11.4723	0.077483
FAS	11.2333	0.060439
FAS	11.0041	0.041506
FAS	10.7840	0.044664
FAS	10.5725	0.053405
FAS	10.3692	0.069968
FAS	10.1736	0.059609
FAS	9.9852	0.053649
FAS	9.8036	0.063105
FAS	9.6286	0.076686
FAS	9.4596	0.029643
FAS	9.2966	-0.003997
FAS	9.1390	0.003504
FAS	8.9867	-0.004425
FAS	8.8393	-0.014771
FAS	8.6968	-0.013071
FAS	8.5587	-0.013393
FAS	8.4250	0.028030
FAS	8.2954	0.025358
FAS	8.1697	-0.004095
FAS	8.0478	0.014347
FAS	7.9294	0.026068
FAS	7.8145	0.018899
FAS	7.7029	0.022308
FAS	7.5944	0.035440
FAS	7.4889	0.033045
FAS	7.3863	0.008702
FAS	7.2865	0.023035
FAS	7.1893	0.016823
FAS	7.0947	0.011041
FAS	7.0026	0.022123
FAS	6.9128	0.012764
FAS	6.8253	-0.004229
