	k0	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19
k0	1.0000	0.5187	0.4664	0.5491	0.5681	0.4321	0.3118	0.3802	0.4064	0.6010	0.3919	0.6173	0.5112	0.4309	0.5462	0.3676	0.4353	0.1510	0.4232	0.3362
k1	0.5187	1.0000	0.4965	0.6338	0.3929	0.4146	0.2693	0.2866	0.2956	0.4638	0.3907	0.5332	0.4775	0.5072	0.4265	0.3000	0.4792	-0.0144	0.3906	0.2596
k2	0.4664	0.4965	1.0000	0.1305	0.3985	0.4174	0.2431	0.4494	0.1752	0.4975	0.5601	0.5096	0.2957	0.4294	0.5439	0.3215	0.5203	0.1986	0.4829	0.2823
k3	0.5491	0.6338	0.1305	1.0000	0.4467	0.3181	0.3524	0.1783	0.4292	0.4416	0.2275	0.4956	0.6126	0.4620	0.3482	0.3157	0.4017	-0.0047	0.3156	0.3028
k4	0.5681	0.3929	0.3985	0.4467	1.0000	0.0491	0.4382	0.4920	0.4022	0.6026	0.3605	0.4635	0.6778	0.5657	0.8187	0.5352	0.6176	0.4128	0.5152	0.5018
k5	0.4321	0.4146	0.4174	0.3181	0.0491	1.0000	0.2856	0.4995	0.5945	0.6503	0.6586	0.7406	0.3960	0.5129	0.3150	0.4756	0.4452	0.1354	0.4306	0.2970
k6	0.3118	0.2693	0.2431	0.3524	0.4382	0.2856	1.0000	0.3759	0.5436	0.5809	0.5408	0.4594	0.5636	0.5497	0.5534	0.5991	0.5739	0.4288	0.4880	0.4557
k7	0.3802	0.2866	0.4494	0.1783	0.4920	0.4995	0.3759	1.0000	0.5534	0.6674	0.6525	0.6139	0.5350	0.6472	0.6844	0.7032	0.6616	0.4555	0.5548	0.4816
k8	0.4064	0.2956	0.1752	0.4292	0.4022	0.5945	0.5436	0.5534	1.0000	0.8576	0.7546	0.7190	0.7871	0.8439	0.6211	0.7836	0.6870	0.6835	0.6439	0.6832
k9	0.6010	0.4638	0.4975	0.4416	0.6026	0.6503	0.5809	0.6674	0.8576	1.0000	0.8641	0.8651	0.8244	0.8533	0.8585	0.8438	0.8385	0.6523	0.8064	0.7328
k10	0.3919	0.3907	0.5601	0.2275	0.3605	0.6586	0.5408	0.6525	0.7546	0.8641	1.0000	0.7027	0.5791	0.8158	0.7409	0.7931	0.7922	0.6430	0.7214	0.5983
k11	0.6173	0.5332	0.5096	0.4956	0.4635	0.7406	0.4594	0.6139	0.7190	0.8651	0.7027	1.0000	0.8116	0.7597	0.6737	0.7366	0.7952	0.4016	0.7101	0.6339
k12	0.5112	0.4775	0.2957	0.6126	0.6778	0.3960	0.5636	0.5350	0.7871	0.8244	0.5791	0.8116	1.0000	0.8310	0.7507	0.7671	0.8123	0.5732	0.7142	0.7417
k13	0.4309	0.5072	0.4294	0.4620	0.5657	0.5129	0.5497	0.6472	0.8439	0.8533	0.8158	0.7597	0.8310	1.0000	0.7842	0.8053	0.8812	0.6480	0.7153	0.6952
k14	0.5462	0.4265	0.5439	0.3482	0.8187	0.3150	0.5534	0.6844	0.6211	0.8585	0.7409	0.6737	0.7507	0.7842	1.0000	0.8166	0.8725	0.6595	0.7602	0.6872
k15	0.3676	0.3000	0.3215	0.3157	0.5352	0.4756	0.5991	0.7032	0.7836	0.8438	0.7931	0.7366	0.7671	0.8053	0.8166	1.0000	0.8895	0.6590	0.7107	0.6734
k16	0.4353	0.4792	0.5203	0.4017	0.6176	0.4452	0.5739	0.6616	0.6870	0.8385	0.7922	0.7952	0.8123	0.8812	0.8725	0.8895	1.0000	0.6105	0.7593	0.6918
k17	0.1510	-0.0144	0.1986	-0.0047	0.4128	0.1354	0.4288	0.4555	0.6835	0.6523	0.6430	0.4016	0.5732	0.6480	0.6595	0.6590	0.6105	1.0000	0.7403	0.8200
k18	0.4232	0.3906	0.4829	0.3156	0.5152	0.4306	0.4880	0.5548	0.6439	0.8064	0.7214	0.7101	0.7142	0.7153	0.7602	0.7107	0.7593	0.7403	1.0000	0.9418
k19	0.3362	0.2596	0.2823	0.3028	0.5018	0.2970	0.4557	0.4816	0.6832	0.7328	0.5983	0.6339	0.7417	0.6952	0.6872	0.6734	0.6918	0.8200	0.9418	1.0000
